product_name,price,barcode,date,source_file,llm_action,pyfooda_name,grams_in_name
SALADE POULET,2.99,540011595113,2023-10-25,2023_10_25.csv,match,CHICKEN,nan
D365 CREME 20 CL,0.69,5400631743439,2023-10-25,2023_10_25.csv,match,CREME FRAICHE,200.0
CARPACCIO,3.78,2043856033787,2023-10-25,2023_10_25.csv,ignore,,nan
HACHIS BOEUF&PORC,9.5,2040857095002,2023-10-25,2023_10_25.csv,ignore,,nan
HACHIS BOEUF&PORC,10.04,2040850100486,2023-10-25,2023_10_25.csv,ignore,,nan
HET TRAAGSTE BROOD P,4.3,5430000177470,2023-10-30,2023_10_30.csv,match,BREAD,nan
HET TRAAGSTE BROOD P,4.5,5430000177470,2023-10-30,2023_10_30.csv,match,BREAD,nan
CAROTTES BIO,2.19,5400101295000,2023-10-30,2023_10_30.csv,ignore,,nan
CAROTTES BIO,2.19,5400101295000,2023-10-30,2023_10_30.csv,ignore,,nan
BM 335G FRAMBOISE,3.75,360858091669,2023-10-30,2023_10_30.csv,ignore,,335.0
ENTREM. DEGUST.250G,7.39,3396319110000,2023-10-30,2023_10_30.csv,ignore,,250.0
100GR JEUNES POUSS,1.99,5400101236733,2023-10-30,2023_10_30.csv,ignore,,nan
HARICOTS FINS 400G,3.29,5400141595157,2023-10-30,2023_10_30.csv,ignore,,nan
MOZZARELLA MAXI,2.75,8000430136262,2023-10-30,2023_10_30.csv,match,MOZZARELLA CHEESE,nan
MOZZARELLA MAXI,2.75,8000430136262,2023-10-30,2023_10_30.csv,match,MOZZARELLA CHEESE,nan
BOURSIN POIVRE,3.49,3073781041526,2023-10-30,2023_10_30.csv,ignore,,nan
COEUR DOUX LIT GEM,2.99,5400141595765,2023-10-30,2023_10_30.csv,ignore,,nan
CHIPS 147G S&BL.PE,1.95,8710398524822,2023-10-30,2023_10_30.csv,ignore,,147.0
KIWI SUNGOLD XL,5.15,5400101236733,2023-10-30,2023_10_30.csv,match,KIWI,nan
MYRTILLES 500GR,7.49,5400101236733,2023-10-30,2023_10_30.csv,ignore,,nan
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,match,CREME FRAICHE,200.0
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,match,CREME FRAICHE,200.0
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,match,CREME FRAICHE,200.0
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,match,CREME FRAICHE,200.0
580G CHOCOS,5.49,5400359047483,2023-10-30,2023_10_30.csv,ignore,,580.0
500G SP K LAIT CHO,4.95,5053990129575,2023-10-30,2023_10_30.csv,ignore,,nan
360G CRUNCHY CREAM,2.99,7612100011847,2023-10-30,2023_10_30.csv,match,CREAM,360.0
185G LAYS NATUREL,2.09,8710398524080,2023-10-30,2023_10_30.csv,ignore,,nan
OEUFS BIO 12 PCS,5.25,5400101591283,2023-10-30,2023_10_30.csv,ignore,,nan
240G GAUF VANI CHO,4.65,5410216004118,2023-10-30,2023_10_30.csv,ignore,,240.0
ROTI DE VEAU,19.78,2040323019738,2023-10-30,2023_10_30.csv,ignore,,nan
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,match,CREME FRAICHE,200.0
BIO BANANEN,2.59,401107192271,2023-10-30,2023_10_30.csv,ignore,,nan
LINDT EXCELLENCE,2.29,3046920028366,2023-10-30,2023_10_30.csv,ignore,,nan
LINDT EXCELLENCE,2.29,3046920028366,2023-10-30,2023_10_30.csv,ignore,,nan
OEUFS BIO 12 PCS,5.25,5400101591283,2023-10-30,2023_10_30.csv,ignore,,nan
ROSETTE,3.96,2205500003850,2023-10-30,2023_10_30.csv,match,SALAMI,nan
ROSETTE,3.85,2205500,2023-10-30,2023_10_30.csv,match,SALAMI,nan
DOL PIZZA MARGH,4.99,540011954988,2023-10-30,2023_10_30.csv,match,PIZZA SAUCE,nan
DOL PIZZA MARGH,4.99,540011954988,2023-10-30,2023_10_30.csv,match,PIZZA SAUCE,nan
HERTA JAMBON SUP,4.49,315423080902,2023-10-30,2023_10_30.csv,ignore,,nan
HERTA JAMBON SUP,4.49,315423080902,2023-10-30,2023_10_30.csv,ignore,,nan
400G NUTELLA,2.99,3017620422003,2023-10-30,2023_10_30.csv,ignore,,nan
250G PATE TARTINER,4.65,360858007072,2023-10-30,2023_10_30.csv,ignore,,nan
FAIRBEL 1/2 E,8.09,542502728002,2023-11-01,2023_11_01.csv,match,MILK,nan
MEERGRANENSTOKB.GROO,2.05,594,2023-11-01,2023_11_01.csv,ignore,,nan
MEERGRANENSTOKB.GROO,2.05,594,2023-11-01,2023_11_01.csv,ignore,,nan
D&L MAYO TD,1.25,540011305084,2023-11-01,2023_11_01.csv,match,MAYONNAISE,nan
500ML HEINZ KETCH,2.89,871570012217,2023-11-01,2023_11_01.csv,ignore,,500.0
ORANGES 4P,2.89,540011233642,2023-11-01,2023_11_01.csv,ignore,,nan
SOMI MULTIGRAIN 40,2.29,871089200239,2023-11-01,2023_11_01.csv,ignore,,nan
SOMI MULTIGRAIN 40,2.29,871089200239,2023-11-01,2023_11_01.csv,ignore,,nan
K&K 40%,2.19,540011555397,2023-11-01,2023_11_01.csv,ignore,,nan
RAISIN MLK 500G,4.95,540011559756,2023-11-01,2023_11_01.csv,match,RAISIN,500.0
KIWI GOLD,4.45,204904300767,2023-11-01,2023_11_01.csv,match,KIWI,nan
FILET PUR DE DORC,7.66,204907490487,2023-11-01,2023_11_01.csv,match,PORK,300
FILET PUR DE DORC,7.48,204914,2023-11-01,2023_11_01.csv,match,PORK,300
POMMES DROLES,3.98,541147400141,2023-11-01,2023_11_01.csv,ignore,,nan
6PC POMME PINK LAD,3.98,541147400141,2023-11-01,2023_11_01.csv,match,APPLE,900
6PC POMME PINK LAD,3.98,541147400141,2023-11-01,2023_11_01.csv,match,APPLE,900
250G TORTELLO TOM,2.59,540011597537,2023-11-01,2023_11_01.csv,match,TORTELLINI,250.0
250G TORTELLO TOM,2.59,540011597537,2023-11-01,2023_11_01.csv,match,TORTELLINI,250.0
TOMATES GRAPPE,2.99,2523,2023-11-01,2023_11_01.csv,match,TOMATO,nan
DIKKE AJUIN,3.83,9991,2023-11-01,2023_11_01.csv,match,ONION,1000
MANGUE,5.67,540011954346,2023-11-01,2023_11_01.csv,match,MANGO,nan
HACHIS PORC-VEAU,10.52,204804101052,2023-11-01,2023_11_01.csv,ignore,,nan
HACHIS PORC-VEAU,10.78,204804110781,2023-11-01,2023_11_01.csv,ignore,,nan
MOZZARELLA MAXI,2.65,800043031526,2023-11-01,2023_11_01.csv,match,MOZZARELLA CHEESE,nan
400G NUTELLA,3.99,301762042200,2023-11-01,2023_11_01.csv,ignore,,nan
MOZZARELLA MAXI,2.65,800043031526,2023-11-01,2023_11_01.csv,match,MOZZARELLA CHEESE,nan
PAMPLEMOUSSE ROUGE,3.99,2160,2023-11-01,2023_11_01.csv,ignore,,nan
COURGETTES,2.95,2523,2023-11-01,2023_11_01.csv,match,ZUCCHINI,nan
AVOCAT,6.95,540011595624,2023-11-01,2023_11_01.csv,match,AVOCADO,nan
D&L BEURRE BIO,3.19,540011210050,2023-11-01,2023_11_01.csv,match,BUTTER,nan
PRESID BEURRE 250G,4.69,322802201509,2023-11-01,2023_11_01.csv,match,BUTTER,250.0
200GR. HOUMOUS,1.99,540011238642,2023-11-01,2023_11_01.csv,match,HUMMUS,200.0
BIO BANANEN,2.59,401407169271,2023-11-01,2023_11_01.csv,ignore,,nan
HET TRAGSTE BROOD P,4.5,450031907142,2023-11-09,2023_11_09.csv,match,BREAD,nan
PAIN DE VIANDE,11.52,204093,2023-11-09,2023_11_09.csv,match,BREAD,nan
PAIN DE VIANDE,10.81,204093,2023-11-09,2023_11_09.csv,match,BREAD,nan
224G GAUF VANI CHO,4.65,541012601418,2023-11-09,2023_11_09.csv,match,WAFFLE,224
224G GAUF VANI CHO,4.65,541012601418,2023-11-09,2023_11_09.csv,match,WAFFLE,224
MKADO CHOC LAIT,2.15,301776036339,2023-11-09,2023_11_09.csv,match,CHOCOLATE,75
MKADO CHOC LAIT,2.15,301776036339,2023-11-09,2023_11_09.csv,match,CHOCOLATE,75
MKADO CHOC LAIT,2.15,301776036339,2023-11-09,2023_11_09.csv,match,CHOCOLATE,75
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,match,CREME FRAICHE,200.0
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,match,CREME FRAICHE,200.0
BOI REP LENT RO SO,3.99,540011958132,2023-11-09,2023_11_09.csv,ignore,,nan
PIZZA MOZZA PESTO,5.19,540011954963,2023-11-09,2023_11_09.csv,match,PESTO,nan
PIZZA MOZZA PESTO,5.19,540011954963,2023-11-09,2023_11_09.csv,match,PESTO,nan
PIZZA MOZZA PESTO,5.19,540011954963,2023-11-09,2023_11_09.csv,match,PESTO,nan
PIZZA MOZZA PESTO,5.19,540011954963,2023-11-09,2023_11_09.csv,match,PESTO,nan
MANGUE,1.89,540011954346,2023-11-09,2023_11_09.csv,match,MANGO,nan
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,match,CREME FRAICHE,200.0
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,match,CREME FRAICHE,200.0
PIZZA MOZZA 125G,1.39,800043013325,2023-11-09,2023_11_09.csv,match,PIZZA SAUCE,125.0
FILET PUR DE PORC,4.8,204074,2023-11-09,2023_11_09.csv,ignore,,nan
4X125GR ACTIVIA Y.,3.15,541014641775,2023-11-09,2023_11_09.csv,match,YOGURT,500.0
BIO BAYANEN,2.59,401407169271,2023-11-09,2023_11_09.csv,ignore,,nan
OEUVS COLUMBUS,3.39,541094600046,2023-11-09,2023_11_09.csv,ignore,,nan
BOITE REPAS POTAGE,4.69,540011956929,2023-11-09,2023_11_09.csv,ignore,,nan
BOI REP POTAGE PAN,3.99,540011952006,2023-11-09,2023_11_09.csv,ignore,,nan
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,match,CREME FRAICHE,200.0
OEUVS COLUMBUS,3.39,541094600046,2023-11-09,2023_11_09.csv,ignore,,nan
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,match,CREME FRAICHE,200.0
FILET PUR DE PORC,5.64,204074,2023-11-09,2023_11_09.csv,ignore,,nan
FILETS PORC-VEAU,10.19,204084,2023-11-09,2023_11_09.csv,match,PORK,400
FILETS PORC-VEAU,10.6,204084,2023-11-09,2023_11_09.csv,match,PORK,400
HACHIS PORC-VEAU,10.6,204084,2023-11-09,2023_11_09.csv,ignore,,nan
HET TRAGSTE BROOD,4.0,45000017739,2023-11-09,2023_11_09.csv,match,BREAD,nan
HET TRAGSTE BROOD,4.0,45000017739,2023-11-09,2023_11_09.csv,match,BREAD,nan
750G DLL SEL MA IO,0.75,54001119367,2023-11-09,2023_11_09.csv,ignore,,750.0
500ML BECEL HUILE,3.95,871920002144,2023-11-09,2023_11_09.csv,match,VEGETABLE OIL,500
500ML BECEL HUILE,3.95,871920002144,2023-11-09,2023_11_09.csv,match,VEGETABLE OIL,500
DIK STOKBROOD,1.95,541068373505,2023-11-15,2023_11_15.csv,ignore,,nan
BRUIN STOKBROOD KLEI,1.75,541068380583,2023-11-15,2023_11_15.csv,ignore,,nan
BRUIN STOKBROOD KLEI,1.75,541068380583,2023-11-15,2023_11_15.csv,ignore,,nan
BRUIN STOKBROOD KLEI,1.75,541068380583,2023-11-15,2023_11_15.csv,ignore,,nan
4OOG NUTELLA,3.25,3017640222000,2023-11-15,2023_11_15.csv,ignore,,nan
DUO PACK PINK LADY,3.45,540017641613,2023-11-15,2023_11_15.csv,match,APPLE,nan
DUO PACK PINK LADY,3.45,540017641613,2023-11-15,2023_11_15.csv,match,APPLE,nan
TOMATE SAN MARZANO,2.89,540011232202,2023-11-15,2023_11_15.csv,match,TOMATO,nan
HET TRAAGSTE BROOD P,2.89,5430000011794,2023-11-15,2023_11_15.csv,match,BREAD,nan
HACHIS PORC-VEAU,10.19,204084,2023-11-15,2023_11_15.csv,ignore,,nan
HACHIS PORC-VEAU,10.25,20408410252,2023-11-15,2023_11_15.csv,ignore,,nan
CARPACCIO,4.53,2043562004534,2023-11-15,2023_11_15.csv,ignore,,nan
CARPACCIO,4.65,2043560004659,2023-11-15,2023_11_15.csv,ignore,,nan
AVOCAT,4.65,204356,2023-11-15,2023_11_15.csv,match,AVOCADO,nan
BIO BANANEN,2.59,540011595624,2023-11-15,2023_11_15.csv,ignore,,nan
MANGUE,5.67,4014071695271,2023-11-15,2023_11_15.csv,match,MANGO,nan
DINOSAURUS CHOCOLA,1.75,540011954346,2023-11-15,2023_11_15.csv,ignore,,nan
DINOSAURUS CHOCOLA,1.75,541012600400,2023-11-15,2023_11_15.csv,ignore,,nan
DINOSAURUS CHOCOLA,1.75,541012600400,2023-11-15,2023_11_15.csv,ignore,,nan
100GR JEUNES POUSS,1.19,540011236373,2023-11-15,2023_11_15.csv,ignore,,nan
CITRONS,0.44,2013,2023-11-15,2023_11_15.csv,match,LEMON,500
HARICOT PRIN 500GR,2.79,S40011231070,2023-11-23,2023_11_23.csv,ignore,,nan
HARICOT PRIN 500GR,2.79,S40011231070,2023-11-23,2023_11_23.csv,ignore,,nan
HACHIS P&V S/EPICE,8.51,2047291008511,2023-11-23,2023_11_23.csv,ignore,,nan
HACHIS P&V S/EPICE,8.22,204729,2023-11-23,2023_11_23.csv,ignore,,nan
6BC POMME PINK LAD,3.99,S40011234383,2023-11-23,2023_11_23.csv,match,APPLE,900
AVOCAT,1.39,S400111956924,2023-11-23,2023_11_23.csv,match,AVOCADO,nan
AVOCAT,1.39,S400111956924,2023-11-23,2023_11_23.csv,match,AVOCADO,nan
AVOCAT,1.39,S400111956924,2023-11-23,2023_11_23.csv,match,AVOCADO,nan
"4 X 1,89",7.56,S40011954346,2023-11-23,2023_11_23.csv,ignore,,nan
4X50G DLL PAIN BIO,3.39,540011281850,2023-12-02,2023_12_02.csv,match,BREAD,200.0
4X50G DLL PAIN BIO,3.39,540011281850,2023-12-02,2023_12_02.csv,match,BREAD,200.0
4X50G DLL PAIN BIO,3.39,540011281850,2023-12-02,2023_12_02.csv,match,BREAD,200.0
JAMBON A L OS AUTH,4.5,2258840,2023-12-02,2023_12_02.csv,ignore,,nan
JAMBON A L OS AUTH,4.44,2258840004445,2023-12-02,2023_12_02.csv,ignore,,nan
DUO PACK PINK LADY,3.45,370047661163,2023-12-02,2023_12_02.csv,match,APPLE,nan
MANGUE,1.89,540011954346,2023-12-02,2023_12_02.csv,match,MANGO,nan
MRA 30 MELO CAKES,6.99,762230042488,2023-12-02,2023_12_02.csv,ignore,,nan
PREIS BEURRE FT D,4.49,541115603113,2023-12-02,2023_12_02.csv,match,BUTTER,nan
EXCELLENCE 70%,2.19,304652002800,2023-12-02,2023_12_02.csv,ignore,,nan
EXCELLENCE 70%,2.19,304652002800,2023-12-02,2023_12_02.csv,ignore,,nan
MANGUE,1.89,540011954346,2023-12-02,2023_12_02.csv,match,MANGO,nan
MYRTELLE 150GR,3.59,540011232732,2023-12-02,2023_12_02.csv,ignore,,nan
MYRTELLE 150GR,3.59,540011232732,2023-12-02,2023_12_02.csv,ignore,,nan
SALADE ROUGET,2.19,540011956141,2023-12-02,2023_12_02.csv,ignore,,nan
RAISIN ROUGE SA PE,2.39,540011233672,2023-12-02,2023_12_02.csv,match,RAISIN,nan
MINI BURGER LIMOUS,6.29,540011955376,2023-12-02,2023_12_02.csv,ignore,,nan
DLL CREME FRAICHE,4.99,540011215210,2023-12-02,2023_12_02.csv,match,CREME FRAICHE,nan
NUTELLA,2.49,8013546,2023-12-02,2023_12_02.csv,ignore,,nan
CLEMENTINES FEUILL,5.99,540011958033,2023-12-02,2023_12_02.csv,ignore,,nan
EXCELLENCE 70%,2.19,304652002800,2023-12-02,2023_12_02.csv,ignore,,nan
MINI BURGER LIMOUS,6.29,540011955376,2023-12-02,2023_12_02.csv,ignore,,nan
PREIS BEURRE 250G,4.69,32280201509,2023-12-02,2023_12_02.csv,match,BUTTER,250.0
360G CRUNCHY CREAM,4.99,761210001847,2023-12-02,2023_12_02.csv,match,CREAM,360.0
FRAMBOISE 125G,2.99,540011953988,2023-12-02,2023_12_02.csv,ignore,,nan
FRAMBOISE 125G,2.99,540011953988,2023-12-02,2023_12_02.csv,ignore,,nan
MOZZARELLA MAXI,2.65,800043013526,2023-12-02,2023_12_02.csv,match,MOZZARELLA CHEESE,nan
MOZZARELLA MAXI,2.65,800043013526,2023-12-02,2023_12_02.csv,match,MOZZARELLA CHEESE,nan
MOZZARELLA MAXI,2.65,800043013526,2023-12-02,2023_12_02.csv,match,MOZZARELLA CHEESE,nan
MENTHE GROS PO BIO,2.29,540011237293,2023-12-02,2023_12_02.csv,match,CREME DE MENTHE,nan
CHIQUITA C BANANES,3.24,2004,2023-12-02,2023_12_02.csv,match,BANANA,700
DLL 9R PAPIER WC,3.95,540011368789,2023-12-10,2023_12_10.csv,ignore,,nan
HET TRAAGSTE BROOD P,4.5,543000017740,2023-12-10,2023_12_10.csv,match,BREAD,nan
HET TRAAGSTE BROOD P,4.5,543000017740,2023-12-10,2023_12_10.csv,match,BREAD,nan
DES DE POULET,6.87,2205567006870,2023-12-10,2023_12_10.csv,match,CHICKEN,nan
DES DE POULET,6.84,2205567006849,2023-12-10,2023_12_10.csv,match,CHICKEN,nan
KLEI VADEN,4.99,540011957673,2023-12-10,2023_12_10.csv,ignore,,nan
COEUR DOUX LIT GEM,2.99,540011957562,2023-12-10,2023_12_10.csv,ignore,,nan
HERTA PATE FNE RON,2.59,315423060057,2023-12-10,2023_12_10.csv,match,LARD,100
OEUVFS BIO 12 PCS,4.69,540011952183,2023-12-10,2023_12_10.csv,ignore,,nan
OEUVFS BIO 12 PCS,4.69,540011952183,2023-12-10,2023_12_10.csv,ignore,,nan
200GR HOUMOUS,1.99,540011238642,2023-12-10,2023_12_10.csv,ignore,,nan
MYRTILLES 500GR,7.49,540011232713,2023-12-10,2023_12_10.csv,ignore,,nan
MOZZARELLA 125GR,1.33,800043013303,2023-12-10,2023_12_10.csv,match,MOZZARELLA CHEESE,125.0
ACTIVIA YOG ENT NA,3.39,541014641600,2023-12-10,2023_12_10.csv,match,YOGURT,nan
500G SP K LAIT CHO,5.49,505831902579,2023-12-10,2023_12_10.csv,ignore,,nan
TOMATE SAV GRAPPE,4.49,540011238332,2023-12-10,2023_12_10.csv,match,TOMATO,nan
DESSERT FRAICHE,4.99,540011215210,2023-12-10,2023_12_10.csv,match,CREME FRAICHE,nan
BIO BANANEN,2.59,401407169271,2023-12-10,2023_12_10.csv,ignore,,nan
MANGUE,1.89,800043013303,2023-12-10,2023_12_10.csv,match,MANGO,nan
CAROTTES BIO,2.19,540011239500,2023-12-10,2023_12_10.csv,ignore,,nan
JAMBON A L OS AUTH,4.5,2258840,2023-12-10,2023_12_10.csv,ignore,,nan
JAMBON A L OS AUTH,4.5,2258840,2023-12-10,2023_12_10.csv,ignore,,nan
JAMBON A L OS AUTH,4.5,2258840,2023-12-10,2023_12_10.csv,ignore,,nan
EM 335G FRAISE,4.55,360858091667,2023-12-10,2023_12_10.csv,ignore,,nan
250ML AXE SG MOJIT,4.99,871716394770,2023-12-10,2023_12_10.csv,ignore,,nan
250ML AXE SG MOJIT,4.99,871716394770,2023-12-10,2023_12_10.csv,ignore,,nan
HERTA PATE FNE RON,2.59,315423060057,2023-12-10,2023_12_10.csv,match,LARD,100
HERTA PATE FNE RON,2.59,315423060057,2023-12-10,2023_12_10.csv,match,LARD,100
OIGNONS JAUNE 1KG,4.99,540011238332,2023-12-10,2023_12_10.csv,match,ONION,1000.0
HACHIS PORC-VEAU,11.02,204084,2023-12-10,2023_12_10.csv,ignore,,nan
HACHIS PORC-VEAU,11.25,204084,2023-12-10,2023_12_10.csv,ignore,,nan
250ML AXE SG MOJIT,4.99,871716394770,2023-12-10,2023_12_10.csv,ignore,,nan
250ML AXE SG MOJIT,4.99,871716394770,2023-12-10,2023_12_10.csv,ignore,,nan
RAISIN ROUGE SA PE,2.39,540011236672,2023-12-10,2023_12_10.csv,match,RAISIN,nan
COURGETTES,4.74,2160,2023-12-14,2023_12_14.csv,match,ZUCCHINI,nan
