delhaize_name,action,pyfooda_name,llm_raw_name,grams
300G SW WIT NOUILL,ignore,,,300.0
300NL SAMOURAI SQ,ignore,,,
325G EPERCAC CREME,match,CREME FRAICHE,CREME FRAICHE,325.0
325G PAT CAC CREME,match,CREME FRAICHE,CREME FRAICHE,325.0
"325G PAT CAC CREME 4,19",match,CREME FRAICHE,CREME FRAICHE,325.0
32CL MOGU MOGU FR,ignore,,,320.0
33C CANADA DRY CAN,match,"CANADA DRY, TONIC WATER","CANADA DRY, TONIC WATER",330.0
33CL LA CHOUFFE,ignore,,,330.0
33CL SCH GINGER AL,ignore,,,
33CL SCHW MOJITO Z,ignore,,,330.0
33CL SCHWEPPES TON,ignore,,,330.0
340G PAIN TOM KET,match,BREAD,BREAD,340.0
342G HEINZ TOM KET,match,Ketchup,,342.0
342G HELNZ TOM KET,match,Ketchup,,342.0
350G BG GRANOLA,ignore,,,350.0
350G CACAH/CACAO,match,CACAO,CACAO,350.0
350G CHOCO-CARAMEL,match,CARAMEL,CARAMEL,350.0
350G DLL MIEL BIO,ignore,,,350.0
350G GRANOLA CHOC,ignore,,,350.0
350G HG GRANOLA,ignore,,,350.0
35G MEDIT HERB MIX,ignore,,,
360G CRUNCHY CREAM,match,CREAM,CREAM,360.0
364ML DOUX REM MERV,ignore,,,364.0
365 HARICOTS V COU,ignore,,,
375G CHOCO LAIT,match,100% MILK CHOCOLATE,100% MILK CHOCOLATE,375.0
375G XTRA CHO NOIR,ignore,,,375.0
380G VERMICEL LAIT,ignore,,,380.0
390G VERMICEL LAIT,ignore,,,390.0
3X200G DELH CAROTT,ignore,,,600.0
3X200G THON NATURE,ignore,,,600.0
3X400G TOMAT PEL C,ignore,,,1200.0
4 STUK,ignore,,,
"4 X 1,39",ignore,,,
"4 X 1,89",ignore,,,
4 X 1L APEROL,ignore,,,1000.0
400G BICARBONATE,ignore,,,400.0
400G DLI PATE NOIS,ignore,,,
400G DLL PATE NOI,ignore,,,
400G DLL PATE NOIS,ignore,,,
400G EXQUISE BAG,ignore,,,400.0
400G HEBEI LOOPS,ignore,,,400.0
400G HONEY LOOPS,match,Honey,,400.0
400G MUC DUCHE DDL,ignore,,,400.0
400G NUTELLA,match,"FERRERO, NUTELLA, HAZELNUT SPREAD WITH COCOA","FERRERO, NUTELLA, HAZELNUT SPREAD WITH COCOA",400.0
400G PATE NOI CRU,ignore,,,
400G PATE NOIS CRU,ignore,,,
400G SAUMON FUM NOR,ignore,,,400.0
400G TOM.CRISES,match,TOMATO,TOMATO,400.0
400G TRAGSTE BROOD P,match,BREAD,BREAD,400.0
400GR TOM CERISES,match,TOMATO,TOMATO,400.0
400GR TOM.CRISES,match,TOMATO,TOMATO,400.0
400ML LAIT DE COCO,ignore,,,400.0
40G DLL PATE NOI,ignore,,,
40G MELANGE 5 BAIE,ignore,,,40.0
450G DIL BOIS BIOL,ignore,,,450.0
450G DLL POIS BIOL,ignore,,,450.0
450G DLT FOIS BIOL,ignore,,,450.0
450G MINI ROSTI,match,ROSTI,ROSTI,450.0
450G NESQUIK CEREA,ignore,,,450.0
450G NESSTIX CEREA,ignore,,,450.0
450G QUAK MEUS NOI,ignore,,,450.0
450G QUAK MUE MULT,ignore,,,450.0
450G SKYR NATURE,ignore,,,450.0
4OOG NUTELLA,ignore,,,
4X125GR ACTIVIA Y.,match,YOGURT,YOGURT,500.0
4X4G DOUBLE LAIT,ignore,,,16.0
4X50G DLL PAIN BIO,match,BREAD,BREAD,200.0
500 POCHETTES PERF,ignore,,,
500G COUSCOUS PERL,match,COUSCOUS,COUSCOUS,500.0
500G DE CECCO GNOC,ignore,,,500.0
500G DE CECCO RADI,ignore,,,500.0
500G DLL BIO SPAGH,ignore,,,500.0
500G ESRP GRAINS,ignore,,,
500G MACCHERONI,ignore,,,500.0
500G MIX 7 LAIT CHO,ignore,,,
500G PEST AL EBR,ignore,,,500.0
500G ROMB DESSERT,ignore,,,500.0
500G SP 3X LAIT CHO,ignore,,,500.0
500G SP K LAIT CHO,match,100% MILK CHOCOLATE,100% MILK CHOCOLATE,500.0
500GR L RIS GRAI,ignore,,,500.0
500ML BECEL HUILE,ignore,,,500.0
500ML DLL MAYO OEU,ignore,,,500.0
500ML ERA SIRO BIO,ignore,,,500.0
500ML HEINZ KETCH,ignore,,,500.0
500ML OLIV EX,ignore,,,500.0
50C COCA COLA REG.,match,COLA,COLA,
50CC SQC CANE C FT,match,CANE SYRUP,CANE SYRUP,
580G CHOCOS,ignore,,,580.0
5G SM SAFFRAN,ignore,,,5.0
"6 BOULES X 3,75/ KG",ignore,,,
6 PAINS HAMBURGER,ignore,,,
6 SM WRAP TORTILLA,match,TORTILLA,TORTILLA,
6 WHARS DE BLE,ignore,,,
6 WRAPS DE BLE,match,WRAPS,WRAPS,
600G DFL POMME PIN,ignore,,,600.0
600G GAUFFRE POT,ignore,,,
600G PM DUCH DIL,ignore,,,600.0
600G POM DUCH DLL,ignore,,,600.0
60G MEDIT HERB MIX,ignore,,,
60ML TAB PIME ROUG,ignore,,,60.0
6BC POMME PINK LAD,match,APPLE,APPLE,
6PC POMME PINK LAD,match,APPLE,APPLE,
6PC POMME PINK LADY,match,APPLE,APPLE,
6PC PUREE BELGE,match,FRUIT PUREE,FRUIT PUREE,
6X1L SANPELLEGRINO,ignore,,,
6X25CL APPLETISER,ignore,,,1500.0
6X25CL CRISTAL ORI,ignore,,,1500.0
6X25CL JUPILER 0.6E,ignore,,,1500.0
6X25CL JUPILER BAS,ignore,,,1500.0
6X33 SCHWEPPES LEM,ignore,,,
6X33C CANADA DRY,match,"CANADA DRY, TONIC WATER","CANADA DRY, TONIC WATER",1980.0
6X33CL 7UP,ignore,,,1980.0
6X33CL CANADA DRY,match,"CANADA DRY, TONIC WATER","CANADA DRY, TONIC WATER",1980.0
6X33CL HOEG 0.0 CA,ignore,,,1980.0
6X33CL LEFFE 0.0 C,ignore,,,1980.0
6X33CL SCH GINGER,match,GINGER,GINGER,1980.0
6X33CL SCHWEPPES M,ignore,,,1980.0
6X33CL SCHWEPPES T,ignore,,,1980.0
6X55ML MAGNUM ALMO,ignore,,,330.0
6XSCHWEPPES MOJITO,match,Mojito,Mojito,
70G PATE CURRY JAU,ignore,,,
75 CROZES HERM GAL,ignore,,,
75 NUVOOLA 19R BIO,ignore,,,
75 ROSE MONTAUR18R,ignore,,,
750G DLL PATE NOI,ignore,,,
750G DLL SEL MA IO,ignore,,,750.0
750G MCC DUCHESSE,ignore,,,750.0
750G NUTELLA,ignore,,,750.0
750G POMMES NOISET,ignore,,,750.0
750G PUREE BELGE,match,FRUIT PUREE,FRUIT PUREE,750.0
750G ROSET,ignore,,,750.0
750G ROSTY,ignore,,,750.0
75CL PROSECCO DOC,ignore,,,750.0
75G CHIPS POIS BIO,ignore,,,75.0
800G HARIC VER COU,ignore,,,800.0
80G PROSC PARMA,ignore,,,80.0
"9 X 1,45",ignore,,,
ACDC FILET POULET,match,CHICKEN,CHICKEN,
ACTIV 4X125 0% FRA,ignore,,,
ACTIVIA MAXI MA,match,YOGURT,YOGURT,
ACTIVIA YOG ENT NA,match,YOGURT,YOGURT,
AIGUILLETTE DINDE,match,TURKEY,TURKEY,
ANCIENT SOLDE DE POINTS,ignore,,,
APPEL PINK LADY 6P,match,APPLE,APPLE,
APPRE PINEA LADY 6P,ignore,,,
AUBEL BEURRE 500G,ignore,,,500.0
AUBER BEURRE 500G,ignore,,,500.0
AUBERGINE GRAFFITI,ignore,,,
AUBERGINES,ignore,,,
AVANTAGES,ignore,,,
AVOCAI,ignore,,,
AVOCAT,match,AVOCADO,AVOCADO,
BAGUETTE BEAU,ignore,,,
BALADE CREME 1L,match,CREME FRAICHE,CREME FRAICHE,1000.0
BANANEN,ignore,,,
BANANES,ignore,,,
BARILLA SPAGHETTI5,ignore,,,
BASILIC 20G,ignore,,,20.0
BASILIC EN POT BIO,match,BASIL,BASIL,
BATEIN ROUGE SA PE,ignore,,,
BEBILIN POT BIO,match,BASIL,BASIL,
BECKMANN D. FRUITS,ignore,,,
BECKMANN D.GRAISSE,ignore,,,
BEN RIZ COMPLET,ignore,,,
BEURRE 500G,ignore,,,500.0
BIG MEG 100GR,ignore,,,100.0
BIO 300 FM PEN PES,ignore,,,
BIO = BE-BIO-01,ignore,,,
BIO AIL 2 PC,ignore,,,
BIO BANANE,ignore,,,
BIO BANANEN,match,"Banana, raw","Banana, raw",
"BIO BANANEN 0,560 KG X",ignore,,,560.0
BIO BANANES,ignore,,,
BIO BASILIC POT,match,BASIL,BASIL,
BIO BAYANEN,ignore,,,
BIO BE-BIO-01,ignore,,,
BIO BOEUF&PORC,match,Pork,,
BIO CAPOTES,ignore,,,
BIO CAROTTES,match,CARROTS,CARROTS,
BIO CAROTTES 100GR JEUNES POUSS,match,CARROTS,CARROTS,100.0
"BIO CAROTTES 2,29",match,CARROTS,CARROTS,
BIO CITRON 4PC,match,LEMON,LEMON,
BIO CITRON QC,match,LEMON,LEMON,
BIO ECHALOTE,ignore,,,
BIO GINGEMBRE,ignore,,,
BIO GOUTA TRANCHES,ignore,,,
BIO GUACAMOLE DOUX,match,GUACAMOLE,GUACAMOLE,
BIO HOMOUS 200G,ignore,,,200.0
BIO HOUMOUS 200G,match,HOMMUS,HOMMUS,200.0
BIO HOUNMOUS 200G,ignore,,,200.0
BIO MINT,match,MINT,MINT,
"BIO PDT DOUCE 0,560 KG X",ignore,,,560.0
BIO PDT FARINE 2KG,ignore,,,2000.0
BIO PICCOLOS AVIONE,ignore,,,
BIO PITTEMIX 150G,ignore,,,150.0
BIO THYM,ignore,,,
BIOEATE CERISE GRAP,ignore,,,
BIOESCHE FILET POUL,ignore,,,
BIOGR MESCUN,ignore,,,
BIS CREAM GLAC,match,CREAM,CREAM,
BISCUITS BAGUE,ignore,,,
BLE EMB 100GR,ignore,,,100.0
BM 335C FRAMBOISE,ignore,,,
BM 335C RHUBARBE,ignore,,,
BM 335G FRAMBOISE,ignore,,,335.0
BM 335G RHUBARBE,ignore,,,335.0
BOI REP CURRY VERT,match,CURRY,CURRY,
BOI REP LENT RO SO,ignore,,,
BOI REP POTAGE PAN,ignore,,,
BOITE REPAS POTAGE,ignore,,,
BOKMAAN DET. SANG,ignore,,,
BOTTE POIREAU,ignore,,,
BOURSIN POIVRE,match,"BOURSIN, GOURNAY CHEESE, RED CHILI PEPPER","BOURSIN, GOURNAY CHEESE, RED CHILI PEPPER",
BROCHETTE PORC MA,match,Pork,,
BROCOLI,ignore,,,
BRU LEGPET,ignore,,,
BRUIN STOETBROOD KLEI,ignore,,,
BRUIN STOKBROOD KLEI,match,BAGUETTE,BAGUETTE,
BRUNIR/SERVIR VEAU,ignore,,,
BURGER 100 % DE BO,ignore,,,
BURGER ANGUS,ignore,,,
BURGER LIMOUSIN,match,"Beef, ground, patty","Beef, ground, patty",
BUTCHER BURGE,ignore,,,
CAME FROM FR ENT,ignore,,,
CAMP FROM FR ENT,ignore,,,
CAMP FROM FR ENTIE,ignore,,,
CANARD WC MARINE,ignore,,,
CARDBE BEURRE SALE,ignore,,,
CARDBOARRE FT D,ignore,,,
CARLIS BEURRE FT D,ignore,,,
CARLIS BEURRE SALE,ignore,,,
CARLS BEURRE FT D,ignore,,,
CARLS BEURRE SALE,ignore,,,
CARLSB BEURRE FT D,ignore,,,
CARLSB BEURRE SALE,ignore,,,
CARLSB CREME ENT A,match,CREME FRAICHE,CREME FRAICHE,
"CARLSB CREME ENT A 7,25",match,CREME FRAICHE,CREME FRAICHE,
CARLSBERG BEURRE SALE,ignore,,,
CAROTTES,match,CARROTS,CARROTS,
CAROTTES 500GR,match,CARROTS,CARROTS,500.0
CAROTTES BIO,match,CARROTS,CARROTS,
CARPACCIO,match,DELI ROAST BEEF,DELI ROAST BEEF,
CELERI VERT,ignore,,,
CEREQUICK 1000GR,ignore,,,1000.0
CERISE 1KG,match,CHERRY,CHERRY,1000.0
CHARCUTERIE,match,CHARCUTERIE,CHARCUTERIE,
CHAVROUX 150GR,ignore,,,150.0
CHEDDAR RAPE,match,CHEDDAR CHEESE,CHEDDAR CHEESE,
CHICKEN NUGGETS,match,CHICKEN,CHICKEN,
CHIPS 147G S&BL.PE,ignore,,,147.0
CHIQUITA C BANANES,ignore,,,
CHOU POINTU HACHE,ignore,,,
CHOU-FLEUR,ignore,,,
CHOUX CHINOIS,ignore,,,
CHOUX DE BRUX 750G,ignore,,,
CIABATTA,match,CIABATTA,CIABATTA,
CIBOULETTE BIO,match,CHIVES,CHIVES,
CINEMA 7 1/2 PRIX,ignore,,,
CITRON 500G,match,LEMON,LEMON,500.0
CITRON VERT,match,LEMON,LEMON,
CITRON VERT 500G,match,LEMON,LEMON,500.0
CITRONS,match,LEMON,LEMON,
CITRONS 500G,match,LEMON,LEMON,500.0
CLEMENTINES A FEU,ignore,,,
CLEMENTINES A FEUI,match,CLEMENTINE,CLEMENTINE,
"CLEMENTINES A FEUT 1,105 KG",ignore,,,1105.0
CLEMENTINES FEUIL,ignore,,,
CLEMENTINES FEUILL,ignore,,,
COCIGRETTES,ignore,,,
COCKTAIL GRAPE TO,match,GRAPE,GRAPE,
COCKTAIL GRAPPE TO,match,FRUIT COCKTAIL,FRUIT COCKTAIL,
COCOTTE GRAPPE TO,ignore,,,
COEUR DOUX LIT GEM,ignore,,,
COLIMBUS OEUFS 5+1,ignore,,,
COLUMBUS OEUFFS 6PC,ignore,,,
COLUMBUS OEUFS 6PC,ignore,,,
CONC DE POULET,match,CHICKEN,CHICKEN,
CONCOMBRE 4PC,ignore,,,
CONF. NOSTALGIE,ignore,,,
CONF.NOSTALGIE,ignore,,,
CONF.NOSTALGIE MA,ignore,,,
CONFERENCE 4PC,ignore,,,
CONFRENCE 4PC,ignore,,,
CONTFEILLET,ignore,,,
COOP HOUMOUS,match,HOMMUS,HOMMUS,
COPPA,match,COPPA,COPPA,
COQUETTES,ignore,,,
CORIANDRE BIO,ignore,,,
CORNE CHOCO 200G,ignore,,,200.0
COULEMUS OEUVS 6PC,ignore,,,
COURGETTES,match,ZUCCHINI,ZUCCHINI,
"COURGETTES 0,995 KG X 2,99/ KG",match,ZUCCHINI,ZUCCHINI,995.0
"COURGETTES 1,525 KG X",match,ZUCCHINI,ZUCCHINI,1525.0
COUSTRON ROUGE,ignore,,,
CREME 20 CL,match,CREME FRAICHE,CREME FRAICHE,200.0
CREME ENAMEL 1+1,match,CREME FRAICHE,CREME FRAICHE,
CRUNCH NO/CAC,ignore,,,
D&L BEURRE BIO,ignore,,,
D&L MAYO TD,ignore,,,
D365 CREME 20 CL,match,CREME FRAICHE,CREME FRAICHE,200.0
D3G5 SAES BOUB 30L,ignore,,,30000.0
D4L SG BRAZIL,match,Brazil nuts,Brazil nuts,
DACS 200 BAT OUATE,ignore,,,
DALI HUILE OLIV EX,ignore,,,
DANONE ACT 0% SX,ignore,,,
DANONE ACT FRAISES,match,YOGURT STRAWBERRY,YOGURT STRAWBERRY,
DANONE COT CH 400G,ignore,,,400.0
DANONE SKYR FRAISE,ignore,,,
DANONE SKYR NAT 4X,ignore,,,
DAONNE ACT FRAISES,ignore,,,
DE CECCO CASARECCI,ignore,,,
DEL FROMAGE MAIGRE,ignore,,,
DEL JAM CUT DEGR,match,Jam,,
DELTO VEG CHIC CUR,ignore,,,
DES DE FILET THAI,match,THAI TEA,THAI TEA,
DES DE POULET,match,CHICKEN,CHICKEN,
DES POULET,match,CHICKEN,CHICKEN,
DESSERT FRAICHE,match,CREME FRAICHE,CREME FRAICHE,
DIEP ASELIN,ignore,,,
DIK STOKBROOD,ignore,,,
DIKKE AJUIN,ignore,,,
DIKKE PREI BUSSEL,ignore,,,
DILL FOCACCIA BAS T,match,DILLS,DILLS,
DILLE,ignore,,,
DINOSAURE CEREALE,ignore,,,
DINOSAURUS CHOCOLA,ignore,,,
DIXMONT BEUR 250G,ignore,,,250.0
DLC PAIN BIO,match,BREAD,BREAD,
DLC TRESOR MILK,match,MILK,MILK,
DLH BEURRE BIO,ignore,,,
DLH PARM REGG AOP,ignore,,,
DLI PIZZA MARGH,match,PIZZA SAUCE,PIZZA SAUCE,
DLL 1KG LG RIZ BRU,ignore,,,1000.0
DLL 9R PAPIER WC,ignore,,,
DLL BIO CREME GLAC,match,CREME FRAICHE,CREME FRAICHE,
DLL BIO FT CREME G,match,CREME FRAICHE,CREME FRAICHE,
"DLL BIO OEUFS 6PC 2,95",ignore,,,
DLL BIO OEUVS 12PC,ignore,,,
DLL BOMBE DUCHESSE,ignore,,,
DLL CREME FRAICHE,match,CREME FRAICHE,CREME FRAICHE,
DLL CREME LL,match,CREME FRAICHE,CREME FRAICHE,
DLL FR DEMI ECREME,ignore,,,
DLL GIRA FROM,ignore,,,
DLL MAYO TD,ignore,,,
DLL OEUFFS BIO MIX,ignore,,,
DLL OEUFS BIO MIX,ignore,,,
DLL OEUVS BIO MIX,ignore,,,
DLL PAP. CUISSON,ignore,,,
DLL PIZZA MARGH,match,PIZZA SAUCE,PIZZA SAUCE,
DLL POULES POUSS,ignore,,,
DLL PUREE POMME DE,match,FRUIT PUREE,FRUIT PUREE,
DLL SAMOURAI TD,ignore,,,
DLL TOA CHEST,ignore,,,
DLL TRESOR BASIL,match,BASIL,BASIL,
DLL YA MAIG NAT 8X,ignore,,,
DOC APEROL,ignore,,,
DOC PROSECCO DOC,ignore,,,
DOL PIZZA MARGH,match,PIZZA SAUCE,PIZZA SAUCE,
DORITOS NACHO CHEE,ignore,,,
DOS DE CABILLAUD,ignore,,,
DRAAIGATS,ignore,,,
DRAAKJES,ignore,,,
DRAGAS,ignore,,,
DU COTE DE LA VRAIE VIE,ignore,,,
DUL CAMOMILE DOUX,ignore,,,
DUN STOKBROOD,ignore,,,
DUN STOKERBROOD,ignore,,,
DUO FRAMBOISE MY,ignore,,,
DUO PACK PINK LADY,match,APPLE,APPLE,
DUPACK PINK LADY,match,APPLE,APPLE,
DUYVIS CRAC A,ignore,,,
ECHALOTES 500G,ignore,,,500.0
ECHAPPE 500G,ignore,,,500.0
ECHAUTES 500G,ignore,,,500.0
EGGS 6PC,match,EGGS,EGGS,
ELEC CHEQ REPAS,ignore,,,
ELVEA TOM PEL CUBE,match,TOMATO,TOMATO,
EM 335G FRAISE,ignore,,,335.0
EM 335G RHUBARBE,ignore,,,335.0
EMIN POUL CUIT BBQ,match,KOREAN BBQ SAUCE,KOREAN BBQ SAUCE,
EMINC POULET,match,CHICKEN,CHICKEN,
EMINCE POULET,match,CHICKEN,CHICKEN,
ENJOY COCO FRUIT,ignore,,,
ENTREM. DEGUST.250G,ignore,,,250.0
ENTREM.DECUST.250G,ignore,,,250.0
EPINARDS,match,SPINACH,SPINACH,
EPINARDS 500GR,match,SPINACH,SPINACH,500.0
ESCALOPE DE VEAU,ignore,,,
EXCELLENCE 70,ignore,,,
EXCELLENCE 70%,match,"LINDT EXCELLENCE, DARK CHOCOLATE, DARK","LINDT EXCELLENCE, DARK CHOCOLATE, DARK",
FAIRBEL 1/2 E,ignore,,,
FAIREBEL 1/2 E,match,MILK,MILK,
FAIREBEL BEURRE,ignore,,,
FARBEL ENTIER,ignore,,,
FARMER RAUWKOST,match,FARMER CHEESE,FARMER CHEESE,
FASTER 1/2 E,ignore,,,
FENOUILS,ignore,,,
"FENOUILS 0,485 KG X",ignore,,,485.0
FETTUCCINE 300G,match,FETTUCCINE,FETTUCCINE,300.0
FEVES A COUP 400GR,ignore,,,400.0
FIGUE FRAICHE,match,CREME FRAICHE,CREME FRAICHE,
FILET DE JAMBON,match,Ham,,
FILET DE POULET,match,CHICKEN,CHICKEN,
FILET POITRINE DE,ignore,,,
"FILET POITRINE POU 10,85",ignore,,,
"FILET POITRINE POU 11,43",ignore,,,
FILET PUR,ignore,,,
FILET PUR DE DORC,ignore,,,
FILET PUR DE PORC,match,Pork,,
FILET SAUMON S/P,ignore,,,
FILETS PORC-VEAU,ignore,,,
FITNESS BAGUE,ignore,,,
FLEURES 38,ignore,,,
FLEURS 36,ignore,,,
FM BIO SW POT 360G,match,SWEET POTATO,SWEET POTATO,360.0
FONDANT COTE D OR,match,FONDANT,FONDANT,
FRAISE 400GR,match,STRAWBERRY,STRAWBERRY,400.0
FRAISE 500G,match,STRAWBERRY,STRAWBERRY,500.0
FRAISES 500G,ignore,,,500.0
FRAISES FANTIER,ignore,,,
FRAMBOIS 125G,ignore,,,125.0
FRAMBOISE 125G,ignore,,,125.0
