delhaize_name,english_query,pyfooda_match,pyfooda_alt1,pyfooda_alt2,manually_verified
150ML REX QUANT DR,rex quant dr,PURPLESAURUS REX FLAVORED DRINK,DR PEPPER,DR TOPPER,False
16+,16,16 SANDWICH SINGLES,16 SANDWICH SLICES,"16 BEAN SOUP MIX, 16 BEAN",False
160G FEVES DE SOJA,feves de soy,"TAZAH, BROAD BEANS - FEVES","SOY CHORIZO, SOY","SOY SAUCE, SOY",False
165G PRINGLES ORIG,pringles orig,PRINGLES CRISPS ORIGINAL 12.6OZ,PRINGLES CRISPS ORIGINAL 18.9OZ,Pringles Crisps Original 1.3oz,False
"175GR CHICON GAST 3,00",175gr chicon gast 3 00,"Flour, 00","flour, 00",ORIGINAL NO. 00 KETTLE-COOKED POTATO CHIPS,False
175GR JEUNES POUSS,175gr jeunes pouss,,,,False
175GR JEUNES POUSSE,175gr jeunes pousse,,,,False
185G LAYS NATUREL,potato chips naturel,"AU NATUREL PURE HONEY GRANOLA, AU NATUREL",POTATO CHIPS,POTATO CHIPS,False
185G LAYS PAPRIKA,potato chips paprika,PAPRIKA,PAPRIKA,PAPRIKA,False
185G LAYS S&BL.DEP,potato chips s bl dep,POTATO CHIPS,POTATO CHIPS,POTATO CHIPS,False
185G LAYS S&BL.PEP,potato chips s bl pep,BLACK PEPPER POTATO CHIPS,BLACK PEPPER FLAVORED POTATO CHIPS,BLACK PEPPER & SEA SALT POTATO CHIPS,False
185G LAYS S&L.PEP,potato chips s l pep,BLACK PEPPER POTATO CHIPS,BLACK PEPPER FLAVORED POTATO CHIPS,HOT PEPPER KETTLE-STYLE POTATO CHIPS,False
185G LAYS S4BL PEP,potato chips s4bl pep,POTATO CHIPS,POTATO CHIPS,POTATO CHIPS,False
185G LAYS SABL.PEP,potato chips sabl pep,POTATO CHIPS,POTATO CHIPS,POTATO CHIPS,False
185G POIS CA,peas ca,"CADIA, ORGANIC PEAS","CADIA, SWEET PEAS",PEAS & CARROTS,False
185G SM NACHO TORTILLA,sm nacho tortilla,"NACHO TORTILLA CHIPS, NACHO",NACHO TORTILLA CHIPS,"TORTILLA CHIPS, NACHO",False
185G TORTIL CHILI,tortil chili,"TORTILLA CHIPS, CHILI","CHILI LIME TORTILLA CHIPS, CHILI LIME","CHILI LIME ROLLER TORTILLA CHIP, CHILI LIME",False
190G THIN ROMARIN,thin romarin,"THIN BREADSTICKS, THIN","THIN CRUST, THIN","THIN PRETZELS, THIN",False
1KG FARINE FERMENT,flour ferment,FLOUR,FLOUR,FLOUR,False
1KG TRESOR MILK,tresor milk,MILK,MILK,MILK,False
1ST B'BETJIME BIO,1st b betjime bio,ZOO BIO PASTA,"DR. B SODA, DR. B","DR. B SODA, DR. B",False
1TR CLASSIC BIO,1tr classic bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,CLASSIC,False
2 X,2 x,Pieter's Dutch Salami 2 x 50g,"Brioche, Hamburger Buns, Sliced, 3.5 x 2","Brioche, Hamburger Buns, Sliced, 3.5 x 2",False
"2 X 1,99",2 x 1 99,56 PUFF PASTRY MINI HORN 1 x 2,Pieter's Dutch Salami 2 x 50g,"Knot, Garlic, 1.0 oz., 2.5 x 1",False
2 X 200G SM MINI TORTI,2 x sm mini torti,56 PUFF PASTRY MINI HORN 1 x 2,Pieter's Dutch Salami 2 x 50g,2 MINI NEON WORMS,False
2 X AVOCAT,2 x avocado,Pieter's Dutch Salami 2 x 50g,AVOCADO,AVOCADO,False
2+1 GRATUIT,2 1 gratuit,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,56 PUFF PASTRY MINI HORN 1 x 2,False
2+4 GRUUT,2 4 gruut,"Paczki, Bavarian, Retail, 4 Pack, 4 x 2","Paczki, Lemon, Retail, 4 Pack, 4 x 2","Paczki, Raspberry, Retail, 4 Pack, 4 x 2",False
20 F BECKMANN,20 f beckmann,RED F ONDANT,6.5/7.5OZ. F LOB TAILS,6.5/7.5OZ. F LOB TAILS,False
20 NO STRESS BIO,20 no stress bio,NO 20 MEZZI RIGATONI PASTA,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,False
200G DE INSTANT GO,de instant go,TROPICAL TANGO INSTANT POWDER DRINK MIX,"GO GO GRAPEFRUIT KOMBUCHA, GO GO GRAPEFRUIT",GO CASHEWS!,False
200G DLL FOIS BIOL,dll fois biol,,,,False
200G DUUVIS CRAC A,duuvis crac a,A,GRADE A,A COMPLETE BREAKFAST,False
200G DUVIES CRAC A,duvies crac a,A,GRADE A,A COMPLETE BREAKFAST,False
200G DUYVIS CRAAC A,duyvis craac a,A,GRADE A,A COMPLETE BREAKFAST,False
200G DUYVIS CRAC A,duyvis crac a,A,GRADE A,A COMPLETE BREAKFAST,False
200G MEDAILLON DE VEAU,medaillon de veal,"VEAL DUMPLINGS, VEAL","VEAL DEMI GLACE, VEAL",GROUND VEAL,False
200G NUTELLA,nutella,NUTELLA FERRERO WITH BREADSTICKS,Nutella sandwich on wheat bread,Nutella sandwich on white bread,False
200G PETAIND JEU,petaind jeu,,,,False
200G SCROCCHI EP,scrocchi ep,SCROCCHI MIX,"SCROCCHI WITH ROSEMARY CRACKERS, SCROCCHI","SCROCCHI WITH SPELT CRACKERS, SCROCCHI",False
200G SCROCHI EP,scrochi ep,EP CIABATTA ROLLS,EP CLSSC CIABATTA,EP EUR BAGUETTE,False
200G SM MINI TORTI,sm mini torti,Dill Plank Sm 3/16,MINI,MINI,False
200GR EPINARD JEU,200gr spinach jeu,SPINACH,SPINACH,SPINACH,False
200GR GUACAMOLE EP,200gr guacamole ep,GUACAMOLE,GUACAMOLE,GUACAMOLE,False
200GR HOMMOUS,200gr hommous,HOMMOUS DIP,,,False
200GR HOUMOUS,200gr hummus,HUMMUS,HUMMUS,HUMMUS,False
200GR HUMOUS,200gr humous,,,,False
200GR NOCE NOTEN,200gr noce noten,,,,False
200GR. HOUMOUS,200gr hummus,HUMMUS,HUMMUS,HUMMUS,False
2025 GINGER BIO,2025 ginger bio,ZOO BIO PASTA,15+ BIO ACTIVE MANUKA HONEY WITH GINGER,GINGER,False
2040856010387,2040856010387,,,,False
205 POISSA RELAX BIO,205 poissa relax bio,RELAX JUICE,"RELAX TART CHERRY JUICE, RELAX",ORGANIC RELAX SHOT,False
205 ST OAL BIO,205 st oal bio,ZOO BIO PASTA,SCALLOP ST JACQUE,ST PATRICK'S CUPCAKES,False
2065 PEHL NEW BIO,2065 pehl new bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,NEW KRAUT,False
20CL CAPR-SUN TROP,20cl capr sun trop,SPL SMTH TROP PINA,V8 ENGY TROP GRN,V8 SPL TROP BLD,False
2145,2145,,,,False
21EME A 1/2 PRIX,21eme a 1 2 prix,A,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,False
2208785009319,2208785009319,,,,False
220G PAIN,bread,BREAD,BREAD,BREAD,False
220G PAIN 8X,bread 8x,BREAD,BREAD,BREAD,False
224G GAUF VANI CHO,gauf vani cho,HOT SAUCE PIMENT CHO,"CARAMEL CAFFEINATED CHO CO LATE, CARAMEL",SFS CHO VEGETABLE WHL-WHT DUMPLING 2.5LB 8CT,False
2258760004037,2258760004037,,,,False
24 DLI BOUGIES,24 dli bougies,24 SAUSAGE PATTIES,"Banquet Chicken Patties, 24 Ounce, 24 OZ","Banquet Chicken Patties, 24 Ounce, 24 OZ",False
2400 G SANS GL/LAC,2400 g sans gl lac,Hubert'sPnApGgrLmd(NC)  16OZA GL BT,"HONEY G CRAFT GIARDINIERA, HONEY G",G FUEL PEWDIEPIE,False
240G GAUF VANI CHO,gauf vani cho,HOT SAUCE PIMENT CHO,"CARAMEL CAFFEINATED CHO CO LATE, CARAMEL",SFS CHO VEGETABLE WHL-WHT DUMPLING 2.5LB 8CT,False
250G CRUNCHY BIO,crunchy bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,"CRUNCHY GHERKINS, CRUNCHY",False
250G DLI TORT RIC,dli tort ric,ENRICHED RIC,MEDOVIK  TORT,MEDOVIK  TORT,False
250G DLL FRAISES,dll strawberry,STRAWBERRY,STRAWBERRY,STRAWBERRY,False
250G DLL FRAMBOISE,dll raspberry,RASPBERRY,RASPBERRY,"RASPBERRY APPLESAUCE, RASPBERRY",False
250G DLL MYRTILLES,dll blueberry,BLUEBERRY,BLUEBERRY,BLUEBERRY,False
250G DLL NICARAGUA,dll nicaragua,85% NICARAGUA ORGANIC DARK CHOCOLATE,,,False
250G DLL TOA CHEST,dll toa chest,,,,False
250G DLL TOA ROMARIN,dll toa romarin,,,,False
250G DLL TORI RIC,dll tori ric,ENRICHED RIC,,,False
250G DLL TORRICOLO TOM,dll torricolo tom,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
250G DLL TORT RIC,dll tort ric,ENRICHED RIC,MEDOVIK  TORT,MEDOVIK  TORT,False
250G L28 BRAZIL,l28 brazil,"BRAZIL NUTS, BRAZIL","BRAZIL NUTS, BRAZIL","BRAZIL NUTS, BRAZIL",False
250G L28 INDONESIA,l28 indonesia,,,,False
250G LAVAZZA ROMA,lavazza roma,"ROMA DICED TOMATOES, ROMA","ROMA TOMATOES PASTE, ROMA",ROMA BLEND,False
250G MKA MELO CAKE,mka melo cake,CAKE,CAKE,CAKE,False
250G NOCCIOLAT BIO,nocciolat bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
250G PATE TARTINER,pasta tartiner,PASTA,PASTA,PASTA,False
250G PEST BASIL,pest basil,"BASIL PESTO, BASIL","BASIL PESTO, BASIL","BASIL PESTO, BASIL",False
250G TORRICOLO TOM,torricolo tom,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
250G TORTELLO TOM,tortello tom,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
250GR TOGRELLO TOM,250gr togrello tom,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
250ML AXE SG MOJIT,axe sg mojit,144 ROULES 1 SG,56 SUGARED CREAM HORN SG 4.75,27 GLUTEN FREE SHELL NEUTRAL 3.25 SG,False
250ML H.OLIVE CITR,h olive citr,CAFE H CARNITA MEAT,CAFE H CARNITA MEAT,CAFE H CARNITA MEAT,False
250ML HO HERB ITAL,ho herb ital,HO HO HO EDIBLE CONFETTI,"ITALIAN HERB ARTICHOKE BURGERS, ITALIAN HERB","Whole Grain Italian Herb Pocket Thin, 2.00oz",False
250ML REAL MAYO SQ,real mayo sq,MAYO REAL MAYONNAISE SQUEEZE,SQUEEZABLE MAYO REAL MAYONNAISE,REAL MAYO,False
255G DLL TOAST,dll toast bread,FRENCH TOAST BREAD,TEXAS TOAST BREAD,TEXAS TOAST BREAD,False
25CL CORE ZERO PET,25cl core zero pet,PINEAPPLE CORE,PINEAPPLE CORE,"FUDGE CORE SUNDAE CONES, FUDGE CORE",False
25G LIME GRILLS,lime grills,"LIME COLA, LIME","LIME COLA, LIME","LIME CURD, LIME",False
28 TENA ULT MINI,28 tena ult mini,TENA FIGS,"PCC, ORGANIC FIGS, TENA VARIETY","WHOLE FOODS MARKET, TENA FIGS",False
280G DLL ARTICH GR,dll artich gr,BASSETTS CANDY 130.000 GR,BASSETTS CANDY 130.000 GR,BASSETTS CANDY 760 GR,False
286G FITNESS BAGUE,fitness bague,FITNESS MIX,FITNESS MIX,FITNESS MIX,False
2IEME A 1/2 PRIX,2ieme a 1 2 prix,A,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,False
2PC MINI CAKE CHO,2pc mini cake cho,MINI CAKE,HOT SAUCE PIMENT CHO,MINI BUNDT CAKE,False
2R DIL ESS TT DEC,2r dil ess tt dec,SUPER JUMBO DIL PICKLE,1/4 CHOC CAKE/CHOC ICED DEC,1/4 CHOC CAKE/WHITE ICED DEC,False
2X90G HAR. RO 0%SE,2x90g har ro 0 se,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
2X90G LENTIL 0%SEL,2x90g lentil 0 salt,0,SEA SALT LENTIL CHIPS,SEA SALT LENTIL CHIPS,False
3 MOUSQUET NOIS BIO,3 mousquet nois bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
3 X 1.55,3 x 1 55,3 X 3 BREAKFAST BURRITO,112 MINI CONE NEUTRAL SESAME 3 x 1,"Brioche, Hamburger Roll, 3 x 3",False
3+1 GRATUIT,3 1 gratuit,1 serving = 3 oz.,3 IN 1 CANDY + DISPENSER,3 IN 1 INSTANT COFFEE MIX,False
300G COTE D OR PAT,cote d or pat,"COTE D'OR, BELGIAN DARK CHOCOLATE",SUSHI COMBO D,VITAMIN D MILK,False
300G DLL CARE PATE,dll care pasta,BOSTON CARE SUGAR,THE ORIGINAL ICE CREAM CARE,"VANILLA FONDANT CARE ICING, VANILLA",False
300G FLOC AVOI BIO,floc avoi bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
300G LECHE,leche,LECHE CONDENSADA,LECHE CITAS CARAMEL CUBES,LECHE CITAS CARAMEL CUBES,False
300G LOTUS JUM GAU,lotus jum gau,LOTUS CHIPS,"LOTUS ROOT CHIPS, LOTUS ROOT",LOTUS BISCOFF COOKIES,False
300G NUTELLA,nutella,NUTELLA FERRERO WITH BREADSTICKS,Nutella sandwich on wheat bread,Nutella sandwich on white bread,False
300G POMME PINK LAD,apple pink lad,"PINK LADY APPLE KOMBUCHA, PINK LADY APPLE","PINK LADY APPLE KOMBUCHA, PINK LADY APPLE","PINK LADY APPLE KOMBUCHA, PINK LADY APPLE",False
300G SW WIT NOUILL,sw wit nouill,"WIZ WIT FLAVORED POTATO CHIPS, WIZ WIT",CHICKEN MARSALA WIT HLINGUINE,WY SW STY CKN 11.1OZ,False
300NL SAMOURAI SQ,300nl samourai sq,"R.W. BAKERS CO, GLUTEN FREE SQ PIZZA CRUST",,,False
325G EPERCAC CREME,epercac cream,CREAM,"CREAM BISCOFF, CREAM","CREAM CHEESE, CREAM",False
325G PAT CAC CREME,pat cac cream,CREAM,"CREAM BISCOFF, CREAM","CREAM CHEESE, CREAM",False
"325G PAT CAC CREME 4,19",pat cac cream 4 19,"19 GRAIN BREAD, 19 GRAIN",19 GRAIN BREAD,4 ICE CREAM SANDWICHES,False
32CL MOGU MOGU FR,32cl mogu mogu fr,MOGU MOGU SAUCE & DRESSING,"MOGU MOGU, APPLE JUICE","MOGU MOGU, LYCHEE JUICE, LYCHEE",False
33C CANADA DRY CAN,33c canada dry can,CANADA CANDY,CANADA MINTS,CANADA MINTS,False
33CL LA CHOUFFE,33cl la chouffe,PALM 33cl,RODENBACH 33cl,RODENBACH Grand Cru 33cl,False
33CL SCH GINGER AL,33cl sch ginger al,PALM 33cl,RODENBACH 33cl,RODENBACH Grand Cru 33cl,False
33CL SCHW MOJITO Z,33cl schw mojito z,PALM 33cl,RODENBACH 33cl,Mojito,False
33CL SCHWEPPES TON,33cl tonic water ton,TONIC WATER,TONIC WATER,TONIC WATER,False
340G PAIN TOM KET,bread tom ket,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
342G HEINZ TOM KET,heinz tom ket,HEINZ TOMATO KETCHUP,HEINZ TOMATO KETCHUP,"HEINZ TOMATO KETCHUP, 20 OZ",False
342G HELNZ TOM KET,helnz tom ket,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
350G BG GRANOLA,bg granola,GRANOLA,GRANOLA,GRANOLA,False
350G CACAH/CACAO,cacah cacao,CACAO,"CACAO BUTTER, CACAO",CACAO BEVERAGE,False
350G CHOCO-CARAMEL,choco caramel,"CHOCO CARAMEL COOKIE TARTS, CHOCO CARAMEL","CHOCO LEIBNIZ, CARAMEL","CARAMEL CHOCOLATE, CARAMEL",False
350G DLL MIEL BIO,dll honey bio,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,15+ BIO ACTIVE MANUKA HONEY,False
350G GRANOLA CHOC,granola choc,"CHOC CHIP CHEWY GRANOLA BARS, CHOC CHIP",NV Oats N Dark Choc Granola,"GRANOLA CHOCOLATE, GRANOLA",False
350G HG GRANOLA,hg granola,GRANOLA,GRANOLA,GRANOLA,False
35G MEDIT HERB MIX,medit herb mix,"GREEK YOGURT DIP MIX, MEDITERRANEAN HERB",HERB MIX,HERB FLOWERS MIX,False
360G CRUNCHY CREAM,crunchy cream,CRUNCHY ICE CREAM CONES,COOKIES 'N CREAM CRUNCHY CORN SNACKS,"MINI CRUNCHY VANILLA ICE CREAM BAR, VANILLA",False
364ML DOUX REM MERV,doux rem merv,"DOUX SOUTH, CREOLE MUSTARD","DOUX SOUTH, PICKLED BLACK-EYED PEAS","DOUX SOUTH, SPICY CUCUMBER PICKLES",False
365 HARICOTS V COU,365 green beans v cou,GREEN BEANS,GREEN BEANS,GREEN BEANS,False
375G CHOCO LAIT,choco milk,MILK CHOCO BLOCK,"MILK CHOCOLATE, CHOCO","CHOCO MINIS MILK CHOCOLATE, CHOCO MINIS",False
375G XTRA CHO NOIR,xtra cho noir,CHOCOLAT NOIR,PINOT NOIR,PINOT NOIR,False
380G VERMICEL LAIT,vermicel milk,MILK,MILK,MILK,False
390G VERMICEL LAIT,vermicel milk,MILK,MILK,MILK,False
3X200G DELH CAROTT,3x200g delh carott,,,,False
3X200G THON NATURE,3x200g tuna nature,TUNA,TUNA,NATURE FLAVORED WATER,False
3X400G TOMAT PEL C,3x400g tomat pel c,C LOAF,DR. C,CURRY POWDER C,False
4 STUK,4 stuk,"4 CHEESE RAVIOLI, 4 CHEESE","4 CHEESE RAVIOLI, 4 CHEESE","4 CHEESE SAUCE, 4 CHEESE",False
4 X,4 x,"4 X STICKY TOFFEE LAVA CAKES, STICKY TOFFEE","SAUSAGE CHUBS,TRIMMINGS 4 X 5#","Paczki, Bavarian, Retail, 4 Pack, 4 x 2",False
"4 X 1,39",4 x 1 39,"SAUSAGE CHUBS,TRIMMINGS 4 X 5#","Paczki, Bavarian, Retail, 4 Pack, 4 x 2","Paczki, Lemon, Retail, 4 Pack, 4 x 2",False
"4 X 1,89",4 x 1 89,RIGATONI 89,"SAUSAGE CHUBS,TRIMMINGS 4 X 5#","Paczki, Bavarian, Retail, 4 Pack, 4 x 2",False
4 X 1L APEROL,4 x aperol,"SAUSAGE CHUBS,TRIMMINGS 4 X 5#","Paczki, Bavarian, Retail, 4 Pack, 4 x 2","Paczki, Lemon, Retail, 4 Pack, 4 x 2",False
400G BICARBONATE,bicarbonate,,,,False
400G DLI PATE NOIS,dli pasta nois,PASTA,PASTA,PASTA,False
400G DLL PATE NOI,dll pasta noi,PASTA,PASTA,PASTA,False
400G DLL PATE NOIS,dll pasta nois,PASTA,PASTA,PASTA,False
400G EXQUISE BAG,exquise bag,BAG O POPS,BAG O POPS,BIG BAG MINIS,False
400G HEBEI LOOPS,hebei loops,"FROOT LOOPS FLAVORED GUMMIES, FROOT LOOPS","FROOT LOOPS TOASTER PASTRIES, FROOT LOOPS","FROOT LOOPS TOASTER PASTRIES, FROOT LOOPS",False
400G HONEY LOOPS,honey loops,"OAT LOOPS WITH HONEY CEREAL, HONEY","FROOT LOOPS FLAVORED GUMMIES, FROOT LOOPS","FROOT LOOPS TOASTER PASTRIES, FROOT LOOPS",False
400G MUC DUCHE DDL,muc duche ddl,Kho Muc Dried Squid 100g,,,False
400G NUTELLA,nutella,NUTELLA FERRERO WITH BREADSTICKS,Nutella sandwich on wheat bread,Nutella sandwich on white bread,False
400G PATE NOI CRU,pasta noi cru,GRAND CRU OLIVE OIL,RODENBACH Grand Cru 33cl,RODENBACH Grand Cru 75cl,False
400G PATE NOIS CRU,pasta nois cru,GRAND CRU OLIVE OIL,RODENBACH Grand Cru 33cl,RODENBACH Grand Cru 75cl,False
400G SAUMON FUM NOR,salmon fum nor,"NOR CAL RAW & UNFILTERED HONEY, NOR CAL","NOR CAL RAW & UNFILTERED HONEY, NOR CAL",SALMON,False
400G TOM.CRISES,tom crises,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
400G TRAGSTE BROOD P,tragste brood p,P & P LOAF,S + P BLEND,"P & P LOAF MADE WITH CHICKEN, BEEF, PORK",False
400GR TOM CERISES,400gr tom cherry,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
400GR TOM.CRISES,400gr tom crises,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
400ML LAIT DE COCO,milk de coco,LECHE DE COCO COCONUT MILK,COCONUT MILK DRINK WITH NATA DE COCO,CRME DE COCONUT FILLED MILK CHOCOLATE,False
40G DLL PATE NOI,dll pasta noi,PASTA,PASTA,PASTA,False
40G MELANGE 5 BAIE,melange 5 baie,"MELANGE PEPPERCORN, MELANGE",FRUIT MELANGE,PEPPERCORN MELANGE,False
450001507142,450001507142,,,,False
450G DIL BOIS BIOL,dil bois biol,SUPER JUMBO DIL PICKLE,,,False
450G DLL POIS BIOL,dll peas biol,PEAS,PEAS,PEAS,False
450G DLT FOIS BIOL,dlt fois biol,,,,False
450G MINI ROSTI,mini rosti,ROSTI,"MINI BROWNIES WITH FROSTING, MINI BROWNIES",MINI BROWINES WITH FROSTING,False
