product_name,price,barcode,date,source_file,pyfooda_name,grams_in_name,llm_action
DLI PIZZA MARGH,4.99,8000430135266,2023-10-25,2023_10_25.csv,PIZZA,,match
PIZZA MOZZA PESTO,4.99,540011594988,2023-10-25,2023_10_25.csv,MOZZARELLA & PESTO PIZZA,,match
MEERGRANENSTOKB.GROO,2.05,540011595623,2023-10-25,2023_10_25.csv,,,ignore
BRUIN STOKBROOD KLEI,1.75,5410683808851,2023-10-25,2023_10_25.csv,,,ignore
MOZZARELLA MAXI,2.65,8000430135266,2023-10-25,2023_10_25.csv,MOZZARELLA,,match
MEGA CRUNCHY CREAM,2.99,7612100001847,2023-10-25,2023_10_25.csv,,,ignore
D365 CREME 20 CL,0.69,5400631743439,2023-10-25,2023_10_25.csv,"Cream, fluid, heavy whipping",200.0,match
D365 CREME 20 CL,0.69,5400631743439,2023-10-25,2023_10_25.csv,"Cream, fluid, heavy whipping",200.0,match
JAMBON DE FERME,4.13,2205501104316,2023-10-25,2023_10_25.csv,"Pork, cured, ham, patties, unheated",,match
600G PM DUCH DIL,0.95,540011595108,2023-10-25,2023_10_25.csv,SUPER JUMBO DIL PICKLE,600.0,match
KAKI 4P,3.99,540011595107,2023-10-25,2023_10_25.csv,,,ignore
HERTA BLINIS 2KG,2.99,3154230081325,2023-10-25,2023_10_25.csv,"GREAT ATLANTIC TRADING, FRENCH MINI BLINIS",2000.0,match
HERTA LARDNS NATUR,2.79,3154230081325,2023-10-25,2023_10_25.csv,,,ignore
HERTA LARDNS NATUR,2.79,3154230081325,2023-10-25,2023_10_25.csv,,,ignore
HERTA LARDNS NATUR,2.79,3154230081325,2023-10-25,2023_10_25.csv,,,ignore
1.5L VICHY CELEST,1.45,310322106551,2023-10-25,2023_10_25.csv,1 LITER BOTTLE VICHY WATER,,match
D365 CREME 20 CL,0.69,5400631743439,2023-10-25,2023_10_25.csv,"Cream, fluid, heavy whipping",200.0,match
500G SP 3X LAIT CHO,5.49,505399105975,2023-10-25,2023_10_25.csv,PAIN AU LAIT,500.0,match
SAL. PRINTANIERE /J,1.95,540011229860,2023-10-25,2023_10_25.csv,,,ignore
SALADE POULET,2.99,540011595113,2023-10-25,2023_10_25.csv,CHICKEN SALAD,,match
D365 CREME 20 CL,0.69,5400631743439,2023-10-25,2023_10_25.csv,"Cream, fluid, heavy whipping",200.0,match
CARPACCIO,3.78,2043856033787,2023-10-25,2023_10_25.csv,"BRESAOLA DRY-CURED BEEF, BRESAOLA",,match
HACHIS BOEUF&PORC,9.5,2040857095002,2023-10-25,2023_10_25.csv,GROUND BEEF,,match
HACHIS BOEUF&PORC,10.04,2040850100486,2023-10-25,2023_10_25.csv,GROUND BEEF,,match
HET TRAAGSTE BROOD P,4.3,5430000177470,2023-10-30,2023_10_30.csv,,,ignore
HET TRAAGSTE BROOD P,4.5,5430000177470,2023-10-30,2023_10_30.csv,,,ignore
CAROTTES BIO,2.19,5400101295000,2023-10-30,2023_10_30.csv,"Carrot, dehydrated",,match
CAROTTES BIO,2.19,5400101295000,2023-10-30,2023_10_30.csv,"Carrot, dehydrated",,match
BM 335G FRAMBOISE,3.75,360858091669,2023-10-30,2023_10_30.csv,"Ice creams, chocolate",,match
ENTREM. DEGUST.250G,7.39,3396319110000,2023-10-30,2023_10_30.csv,,,ignore
100GR JEUNES POUSS,1.99,5400101236733,2023-10-30,2023_10_30.csv,,,ignore
HARICOTS FINS 400G,3.29,5400141595157,2023-10-30,2023_10_30.csv,GREEN BEANS,400.0,match
MOZZARELLA MAXI,2.75,8000430136262,2023-10-30,2023_10_30.csv,MOZZARELLA,,match
MOZZARELLA MAXI,2.75,8000430136262,2023-10-30,2023_10_30.csv,MOZZARELLA,,match
BOURSIN POIVRE,3.49,3073781041526,2023-10-30,2023_10_30.csv,"Breadsticks, soft, NFS",,match
COEUR DOUX LIT GEM,2.99,5400141595765,2023-10-30,2023_10_30.csv,,,ignore
CHIPS 147G S&BL.PE,1.95,8710398524822,2023-10-30,2023_10_30.csv,"Snacks, potato chips, plain, unsalted",147.0,match
KIWI SUNGOLD XL,5.15,5400101236733,2023-10-30,2023_10_30.csv,"Kiwifruit, ZESPRI SunGold, raw",,match
MYRTILLES 500GR,7.49,5400101236733,2023-10-30,2023_10_30.csv,,,ignore
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,"Cream, fluid, heavy whipping",200.0,match
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,"Cream, fluid, heavy whipping",200.0,match
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,"Cream, fluid, heavy whipping",200.0,match
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,"Cream, fluid, heavy whipping",200.0,match
580G CHOCOS,5.49,5400359047483,2023-10-30,2023_10_30.csv,,,ignore
500G SP K LAIT CHO,4.95,5053990129575,2023-10-30,2023_10_30.csv,PAIN AU LAIT,500.0,match
360G CRUNCHY CREAM,2.99,7612100011847,2023-10-30,2023_10_30.csv,,,ignore
185G LAYS NATUREL,2.09,8710398524080,2023-10-30,2023_10_30.csv,Lays Garlic 1.5z,185.0,match
OEUFS BIO 12 PCS,5.25,5400101591283,2023-10-30,2023_10_30.csv,"Egg, whole, raw, fresh",,match
240G GAUF VANI CHO,4.65,5410216004118,2023-10-30,2023_10_30.csv,,,ignore
ROTI DE VEAU,19.78,2040323019738,2023-10-30,2023_10_30.csv,"Veal, chop",,match
D365 CREME 20 CL,0.69,5400607134439,2023-10-30,2023_10_30.csv,"Cream, fluid, heavy whipping",200.0,match
BIO BANANEN,2.59,401107192271,2023-10-30,2023_10_30.csv,"Banana, raw",,match
LINDT EXCELLENCE,2.29,3046920028366,2023-10-30,2023_10_30.csv,"LINDT, EXCELLENCE DARK CHOCOLATE",,match
LINDT EXCELLENCE,2.29,3046920028366,2023-10-30,2023_10_30.csv,"LINDT, EXCELLENCE DARK CHOCOLATE",,match
OEUFS BIO 12 PCS,5.25,5400101591283,2023-10-30,2023_10_30.csv,"Egg, whole, raw, fresh",,match
ROSETTE,3.96,2205500003850,2023-10-30,2023_10_30.csv,,,ignore
ROSETTE,3.85,2205500,2023-10-30,2023_10_30.csv,,,ignore
DOL PIZZA MARGH,4.99,540011954988,2023-10-30,2023_10_30.csv,PIZZA,,match
DOL PIZZA MARGH,4.99,540011954988,2023-10-30,2023_10_30.csv,PIZZA,,match
HERTA JAMBON SUP,4.49,315423080902,2023-10-30,2023_10_30.csv,"JAMBON DE PARIS HAM, JAMBON DE PARIS",,match
HERTA JAMBON SUP,4.49,315423080902,2023-10-30,2023_10_30.csv,"JAMBON DE PARIS HAM, JAMBON DE PARIS",,match
400G NUTELLA,2.99,3017620422003,2023-10-30,2023_10_30.csv,HAZELNUT SPREAD,400.0,match
250G PATE TARTINER,4.65,360858007072,2023-10-30,2023_10_30.csv,ARTICHOKE PATE,250.0,match
FAIRBEL 1/2 E,8.09,542502728002,2023-11-01,2023_11_01.csv,,,ignore
MEERGRANENSTOKB.GROO,2.05,594,2023-11-01,2023_11_01.csv,,,ignore
MEERGRANENSTOKB.GROO,2.05,594,2023-11-01,2023_11_01.csv,,,ignore
D&L MAYO TD,1.25,540011305084,2023-11-01,2023_11_01.csv,"Mayonnaise, regular",,match
500ML HEINZ KETCH,2.89,871570012217,2023-11-01,2023_11_01.csv,HEINZ TOMATO KETCHUP,,match
ORANGES 4P,2.89,540011233642,2023-11-01,2023_11_01.csv,"Oranges, raw, all commercial varieties",,match
SOMI MULTIGRAIN 40,2.29,871089200239,2023-11-01,2023_11_01.csv,MULTIGRAIN,,match
SOMI MULTIGRAIN 40,2.29,871089200239,2023-11-01,2023_11_01.csv,MULTIGRAIN,,match
K&K 40%,2.19,540011555397,2023-11-01,2023_11_01.csv,,,ignore
RAISIN MLK 500G,4.95,540011559756,2023-11-01,2023_11_01.csv,"MUSCAT GRAPE JELLY, MUSCAT GRAPE",500.0,match
KIWI GOLD,4.45,204904300767,2023-11-01,2023_11_01.csv,"Kiwifruit, ZESPRI SunGold, raw",,match
FILET PUR DE DORC,7.66,204907490487,2023-11-01,2023_11_01.csv,PORK LOIN FILET,,match
FILET PUR DE DORC,7.48,204914,2023-11-01,2023_11_01.csv,PORK LOIN FILET,,match
POMMES DROLES,3.98,541147400141,2023-11-01,2023_11_01.csv,"POMMES SAUCE, POMMES",,match
6PC POMME PINK LAD,3.98,541147400141,2023-11-01,2023_11_01.csv,"POSTOBON, SODA, POMME MELA APPLE",,match
6PC POMME PINK LAD,3.98,541147400141,2023-11-01,2023_11_01.csv,"POSTOBON, SODA, POMME MELA APPLE",,match
250G TORTELLO TOM,2.59,540011597537,2023-11-01,2023_11_01.csv,"TOM TOM SAUCE, TOM TOM",250.0,match
250G TORTELLO TOM,2.59,540011597537,2023-11-01,2023_11_01.csv,"TOM TOM SAUCE, TOM TOM",250.0,match
TOMATES GRAPPE,2.99,2523,2023-11-01,2023_11_01.csv,TOMATO,,match
DIKKE AJUIN,3.83,9991,2023-11-01,2023_11_01.csv,,,ignore
MANGUE,5.67,540011954346,2023-11-01,2023_11_01.csv,MANGO,,match
HACHIS PORC-VEAU,10.52,204804101052,2023-11-01,2023_11_01.csv,"VEAL DUMPLINGS, VEAL",,match
HACHIS PORC-VEAU,10.78,204804110781,2023-11-01,2023_11_01.csv,"VEAL DUMPLINGS, VEAL",,match
MOZZARELLA MAXI,2.65,800043031526,2023-11-01,2023_11_01.csv,MOZZARELLA,,match
400G NUTELLA,3.99,301762042200,2023-11-01,2023_11_01.csv,HAZELNUT SPREAD,400.0,match
MOZZARELLA MAXI,2.65,800043031526,2023-11-01,2023_11_01.csv,MOZZARELLA,,match
PAMPLEMOUSSE ROUGE,3.99,2160,2023-11-01,2023_11_01.csv,"Grapefruit, raw, pink and red, Florida",,match
COURGETTES,2.95,2523,2023-11-01,2023_11_01.csv,"Squash, zucchini, raw",,match
AVOCAT,6.95,540011595624,2023-11-01,2023_11_01.csv,"Avocados, raw, all commercial varieties",,match
D&L BEURRE BIO,3.19,540011210050,2023-11-01,2023_11_01.csv,"BUTTER, SALTED",,match
PRESID BEURRE 250G,4.69,322802201509,2023-11-01,2023_11_01.csv,"BUTTER, SALTED",250.0,match
200GR. HOUMOUS,1.99,540011238642,2023-11-01,2023_11_01.csv,,,ignore
BIO BANANEN,2.59,401407169271,2023-11-01,2023_11_01.csv,"Banana, raw",,match
HET TRAGSTE BROOD P,4.5,450031907142,2023-11-09,2023_11_09.csv,,,ignore
PAIN DE VIANDE,11.52,204093,2023-11-09,2023_11_09.csv,"Bread, white, commercially prepared, toasted",,match
PAIN DE VIANDE,10.81,204093,2023-11-09,2023_11_09.csv,"Bread, white, commercially prepared, toasted",,match
224G GAUF VANI CHO,4.65,541012601418,2023-11-09,2023_11_09.csv,,,ignore
224G GAUF VANI CHO,4.65,541012601418,2023-11-09,2023_11_09.csv,,,ignore
MKADO CHOC LAIT,2.15,301776036339,2023-11-09,2023_11_09.csv,CHOCOLAT LAIT MILK CHOCOLATE,,match
MKADO CHOC LAIT,2.15,301776036339,2023-11-09,2023_11_09.csv,CHOCOLAT LAIT MILK CHOCOLATE,,match
MKADO CHOC LAIT,2.15,301776036339,2023-11-09,2023_11_09.csv,CHOCOLAT LAIT MILK CHOCOLATE,,match
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,"Cream, fluid, heavy whipping",200.0,match
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,"Cream, fluid, heavy whipping",200.0,match
BOI REP LENT RO SO,3.99,540011958132,2023-11-09,2023_11_09.csv,,,ignore
PIZZA MOZZA PESTO,5.19,540011954963,2023-11-09,2023_11_09.csv,MOZZARELLA & PESTO PIZZA,,match
PIZZA MOZZA PESTO,5.19,540011954963,2023-11-09,2023_11_09.csv,MOZZARELLA & PESTO PIZZA,,match
PIZZA MOZZA PESTO,5.19,540011954963,2023-11-09,2023_11_09.csv,MOZZARELLA & PESTO PIZZA,,match
PIZZA MOZZA PESTO,5.19,540011954963,2023-11-09,2023_11_09.csv,MOZZARELLA & PESTO PIZZA,,match
MANGUE,1.89,540011954346,2023-11-09,2023_11_09.csv,MANGO,,match
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,"Cream, fluid, heavy whipping",200.0,match
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,"Cream, fluid, heavy whipping",200.0,match
PIZZA MOZZA 125G,1.39,800043013325,2023-11-09,2023_11_09.csv,MOZZARELLA  PIZZA,125.0,match
FILET PUR DE PORC,4.8,204074,2023-11-09,2023_11_09.csv,PORK LOIN FILET,,match
4X125GR ACTIVIA Y.,3.15,541014641775,2023-11-09,2023_11_09.csv,ACTIVIA PROBIOTIC DRINK,,match
BIO BAYANEN,2.59,401407169271,2023-11-09,2023_11_09.csv,"Banana, raw",,match
OEUVS COLUMBUS,3.39,541094600046,2023-11-09,2023_11_09.csv,"COLUMBUS PROSCIUTTO, 3 OZ",,match
BOITE REPAS POTAGE,4.69,540011956929,2023-11-09,2023_11_09.csv,CORN POTAGE SNACK / YAOKIN,,match
BOI REP POTAGE PAN,3.99,540011952006,2023-11-09,2023_11_09.csv,PAN PASTA,,match
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,"Cream, fluid, heavy whipping",200.0,match
OEUVS COLUMBUS,3.39,541094600046,2023-11-09,2023_11_09.csv,"COLUMBUS PROSCIUTTO, 3 OZ",,match
D365 CREME 20 CL,0.69,540060173439,2023-11-09,2023_11_09.csv,"Cream, fluid, heavy whipping",200.0,match
FILET PUR DE PORC,5.64,204074,2023-11-09,2023_11_09.csv,PORK LOIN FILET,,match
FILETS PORC-VEAU,10.19,204084,2023-11-09,2023_11_09.csv,PORK LOIN FILET,,match
FILETS PORC-VEAU,10.6,204084,2023-11-09,2023_11_09.csv,PORK LOIN FILET,,match
HACHIS PORC-VEAU,10.6,204084,2023-11-09,2023_11_09.csv,"VEAL DUMPLINGS, VEAL",,match
HET TRAGSTE BROOD,4.0,45000017739,2023-11-09,2023_11_09.csv,,,ignore
HET TRAGSTE BROOD,4.0,45000017739,2023-11-09,2023_11_09.csv,,,ignore
750G DLL SEL MA IO,0.75,54001119367,2023-11-09,2023_11_09.csv,,,ignore
500ML BECEL HUILE,3.95,871920002144,2023-11-09,2023_11_09.csv,PERRIER PET 500ML,,match
500ML BECEL HUILE,3.95,871920002144,2023-11-09,2023_11_09.csv,PERRIER PET 500ML,,match
DIK STOKBROOD,1.95,541068373505,2023-11-15,2023_11_15.csv,,,ignore
BRUIN STOKBROOD KLEI,1.75,541068380583,2023-11-15,2023_11_15.csv,,,ignore
BRUIN STOKBROOD KLEI,1.75,541068380583,2023-11-15,2023_11_15.csv,,,ignore
BRUIN STOKBROOD KLEI,1.75,541068380583,2023-11-15,2023_11_15.csv,,,ignore
4OOG NUTELLA,3.25,3017640222000,2023-11-15,2023_11_15.csv,HAZELNUT SPREAD,400.0,match
DUO PACK PINK LADY,3.45,540017641613,2023-11-15,2023_11_15.csv,"PINK LADY APPLES, PINK LADY",,match
DUO PACK PINK LADY,3.45,540017641613,2023-11-15,2023_11_15.csv,"PINK LADY APPLES, PINK LADY",,match
TOMATE SAN MARZANO,2.89,540011232202,2023-11-15,2023_11_15.csv,SAN MARZANO TOMATOES,,match
HET TRAAGSTE BROOD P,2.89,5430000011794,2023-11-15,2023_11_15.csv,,,ignore
HACHIS PORC-VEAU,10.19,204084,2023-11-15,2023_11_15.csv,"VEAL DUMPLINGS, VEAL",,match
HACHIS PORC-VEAU,10.25,20408410252,2023-11-15,2023_11_15.csv,"VEAL DUMPLINGS, VEAL",,match
CARPACCIO,4.53,2043562004534,2023-11-15,2023_11_15.csv,"BRESAOLA DRY-CURED BEEF, BRESAOLA",,match
CARPACCIO,4.65,2043560004659,2023-11-15,2023_11_15.csv,"BRESAOLA DRY-CURED BEEF, BRESAOLA",,match
AVOCAT,4.65,204356,2023-11-15,2023_11_15.csv,"Avocados, raw, all commercial varieties",,match
BIO BANANEN,2.59,540011595624,2023-11-15,2023_11_15.csv,"Banana, raw",,match
MANGUE,5.67,4014071695271,2023-11-15,2023_11_15.csv,MANGO,,match
DINOSAURUS CHOCOLA,1.75,540011954346,2023-11-15,2023_11_15.csv,,,ignore
DINOSAURUS CHOCOLA,1.75,541012600400,2023-11-15,2023_11_15.csv,,,ignore
DINOSAURUS CHOCOLA,1.75,541012600400,2023-11-15,2023_11_15.csv,,,ignore
100GR JEUNES POUSS,1.19,540011236373,2023-11-15,2023_11_15.csv,,,ignore
CITRONS,0.44,2013,2023-11-15,2023_11_15.csv,"Lemon, raw",,match
HARICOT PRIN 500GR,2.79,S40011231070,2023-11-23,2023_11_23.csv,GREEN BEANS,500.0,match
HARICOT PRIN 500GR,2.79,S40011231070,2023-11-23,2023_11_23.csv,GREEN BEANS,500.0,match
HACHIS P&V S/EPICE,8.51,2047291008511,2023-11-23,2023_11_23.csv,PORK,,match
HACHIS P&V S/EPICE,8.22,204729,2023-11-23,2023_11_23.csv,PORK,,match
6BC POMME PINK LAD,3.99,S40011234383,2023-11-23,2023_11_23.csv,"POSTOBON, SODA, POMME MELA APPLE",,match
AVOCAT,1.39,S400111956924,2023-11-23,2023_11_23.csv,"Avocados, raw, all commercial varieties",,match
AVOCAT,1.39,S400111956924,2023-11-23,2023_11_23.csv,"Avocados, raw, all commercial varieties",,match
AVOCAT,1.39,S400111956924,2023-11-23,2023_11_23.csv,"Avocados, raw, all commercial varieties",,match
"4 X 1,89",7.56,S40011954346,2023-11-23,2023_11_23.csv,,,ignore
4X50G DLL PAIN BIO,3.39,540011281850,2023-12-02,2023_12_02.csv,PAIN AU LAIT,,match
4X50G DLL PAIN BIO,3.39,540011281850,2023-12-02,2023_12_02.csv,PAIN AU LAIT,,match
4X50G DLL PAIN BIO,3.39,540011281850,2023-12-02,2023_12_02.csv,PAIN AU LAIT,,match
JAMBON A L OS AUTH,4.5,2258840,2023-12-02,2023_12_02.csv,"JAMBON DE PARIS HAM, JAMBON DE PARIS",,match
JAMBON A L OS AUTH,4.44,2258840004445,2023-12-02,2023_12_02.csv,"JAMBON DE PARIS HAM, JAMBON DE PARIS",,match
DUO PACK PINK LADY,3.45,370047661163,2023-12-02,2023_12_02.csv,"PINK LADY APPLES, PINK LADY",,match
MANGUE,1.89,540011954346,2023-12-02,2023_12_02.csv,MANGO,,match
MRA 30 MELO CAKES,6.99,762230042488,2023-12-02,2023_12_02.csv,CAKES,,match
PREIS BEURRE FT D,4.49,541115603113,2023-12-02,2023_12_02.csv,"BUTTER, SALTED",,match
EXCELLENCE 70%,2.19,304652002800,2023-12-02,2023_12_02.csv,"LINDT, 70% COCOA SMOOTH DARK EXCELLENCE BAR",,match
EXCELLENCE 70%,2.19,304652002800,2023-12-02,2023_12_02.csv,"LINDT, 70% COCOA SMOOTH DARK EXCELLENCE BAR",,match
MANGUE,1.89,540011954346,2023-12-02,2023_12_02.csv,MANGO,,match
MYRTELLE 150GR,3.59,540011232732,2023-12-02,2023_12_02.csv,,,ignore
MYRTELLE 150GR,3.59,540011232732,2023-12-02,2023_12_02.csv,,,ignore
SALADE ROUGET,2.19,540011956141,2023-12-02,2023_12_02.csv,,,ignore
RAISIN ROUGE SA PE,2.39,540011233672,2023-12-02,2023_12_02.csv,"MUSCAT GRAPE JELLY, MUSCAT GRAPE",,match
MINI BURGER LIMOUS,6.29,540011955376,2023-12-02,2023_12_02.csv,"MINI BURGER GUMMI CANDY, MINI BURGER",,match
DLL CREME FRAICHE,4.99,540011215210,2023-12-02,2023_12_02.csv,CREME FRAICHE,,match
NUTELLA,2.49,8013546,2023-12-02,2023_12_02.csv,NUTELLA FERRERO WITH BREADSTICKS,,match
CLEMENTINES FEUILL,5.99,540011958033,2023-12-02,2023_12_02.csv,"Clementines, raw",,match
EXCELLENCE 70%,2.19,304652002800,2023-12-02,2023_12_02.csv,"LINDT, 70% COCOA SMOOTH DARK EXCELLENCE BAR",,match
MINI BURGER LIMOUS,6.29,540011955376,2023-12-02,2023_12_02.csv,"MINI BURGER GUMMI CANDY, MINI BURGER",,match
PREIS BEURRE 250G,4.69,32280201509,2023-12-02,2023_12_02.csv,"BUTTER, SALTED",250.0,match
360G CRUNCHY CREAM,4.99,761210001847,2023-12-02,2023_12_02.csv,,,ignore
FRAMBOISE 125G,2.99,540011953988,2023-12-02,2023_12_02.csv,"Raspberries, raw",125.0,match
FRAMBOISE 125G,2.99,540011953988,2023-12-02,2023_12_02.csv,"Raspberries, raw",125.0,match
MOZZARELLA MAXI,2.65,800043013526,2023-12-02,2023_12_02.csv,MOZZARELLA,,match
MOZZARELLA MAXI,2.65,800043013526,2023-12-02,2023_12_02.csv,MOZZARELLA,,match
MOZZARELLA MAXI,2.65,800043013526,2023-12-02,2023_12_02.csv,MOZZARELLA,,match
MENTHE GROS PO BIO,2.29,540011237293,2023-12-02,2023_12_02.csv,CREME DE MENTHE,,match
CHIQUITA C BANANES,3.24,2004,2023-12-02,2023_12_02.csv,,,ignore
DLL 9R PAPIER WC,3.95,540011368789,2023-12-10,2023_12_10.csv,,,ignore
HET TRAAGSTE BROOD P,4.5,543000017740,2023-12-10,2023_12_10.csv,,,ignore
HET TRAAGSTE BROOD P,4.5,543000017740,2023-12-10,2023_12_10.csv,,,ignore
DES DE POULET,6.87,2205567006870,2023-12-10,2023_12_10.csv,CHICKEN,,match
DES DE POULET,6.84,2205567006849,2023-12-10,2023_12_10.csv,CHICKEN,,match
KLEI VADEN,4.99,540011957673,2023-12-10,2023_12_10.csv,,,ignore
COEUR DOUX LIT GEM,2.99,540011957562,2023-12-10,2023_12_10.csv,,,ignore
HERTA PATE FNE RON,2.59,315423060057,2023-12-10,2023_12_10.csv,PORK PATE,,match
OEUVFS BIO 12 PCS,4.69,540011952183,2023-12-10,2023_12_10.csv,"Egg, whole, raw, fresh",,match
